epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5264,1.06759,3.51319,1.38223,0.00381,0.72793,0.19895,0.12188,1.07912,3.48446,1.50538,0.0708571,0.0032381,0.0032381
2,27.0394,1.00674,2.61624,1.32682,0.62732,0.09744,0.31548,0.18541,1.19313,3.17509,1.59177,0.0407921,0.00650637,0.00650637
3,32.7077,1.11024,2.22006,1.40183,0.66912,0.37909,0.4552,0.25935,1.2704,2.55414,1.64491,0.010661,0.00970865,0.00970865
4,38.3894,1.09932,1.95954,1.38175,0.64782,0.50237,0.52915,0.32288,1.44644,2.85522,1.84753,0.009703,0.009703,0.009703
5,43.9751,1.12703,1.82137,1.40248,0.62253,0.50536,0.58837,0.33556,1.44803,2.54648,1.82523,0.009604,0.009604,0.009604
6,49.3889,1.13123,1.77317,1.40674,0.67303,0.4982,0.55212,0.30937,1.40566,2.98996,1.80632,0.009505,0.009505,0.009505
7,54.9601,1.1102,1.64249,1.38552,0.54965,0.49121,0.49881,0.2467,1.68786,2.37833,2.19825,0.009406,0.009406,0.009406
8,60.4478,1.11659,1.59238,1.38293,0.60791,0.54624,0.59879,0.35993,1.59876,2.45307,1.97513,0.009307,0.009307,0.009307
9,65.9373,1.11377,1.48295,1.37223,0.72724,0.32407,0.38941,0.20035,1.62227,3.62792,2.20316,0.009208,0.009208,0.009208
10,71.4332,1.11098,1.51905,1.38927,0.73261,0.62698,0.73354,0.46058,1.24294,1.94167,1.6018,0.009109,0.009109,0.009109
11,76.9909,1.09134,1.43439,1.36369,0.70826,0.66823,0.7516,0.47357,1.28901,2.08881,1.6866,0.00901,0.00901,0.00901
12,82.557,1.07052,1.33465,1.34795,0.68269,0.61466,0.67655,0.40315,1.34075,1.76372,1.70257,0.008911,0.008911,0.008911
13,88.0451,1.03313,1.2966,1.32841,0.75228,0.67314,0.7336,0.44691,1.34623,1.5342,1.70275,0.008812,0.008812,0.008812
14,93.6272,1.09011,1.30014,1.36762,0.77596,0.67408,0.77196,0.50975,1.20739,1.29578,1.55403,0.008713,0.008713,0.008713
15,99.2112,1.01976,1.26465,1.32237,0.84867,0.68566,0.78579,0.49941,1.24502,1.40304,1.564,0.008614,0.008614,0.008614
16,104.713,1.00472,1.17721,1.30882,0.78211,0.7695,0.81699,0.55658,1.14001,1.16825,1.48333,0.008515,0.008515,0.008515
17,110.239,1.02077,1.17705,1.30885,0.75709,0.67014,0.76791,0.47748,1.25733,1.32817,1.59051,0.008416,0.008416,0.008416
